2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:116 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:116 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:118 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:118 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:118 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:121 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:121 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:121 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:127 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:128 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:129 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:130 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:131 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:132 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:132 networkType:TcpListen connect type:None value:0[0m
